"식품인증업소 관리 일련번호","업소번호","업소 명","자치구 코드","자치구 명","업종 코드","업종 명","업태 코드","업태 명","업주 명","식품인증구분","식품인증 구분명","인증일자","사용여부","지도표시여부","식품인증업소 등급","지도 Y좌표","지도 X좌표","전화번호","도로명상세주소","도로명주소코드","도로명주소","허가번호","최초작성일자","최종수정일자","업소인증메뉴","교부번호","인증여부"
"13640","","두채사랑전주콩나물국밥","3060000","중랑구","101","일반음식점","10101","한식","권은미","04","저염실천음식점","2020-12-31","Y","Y","","37.5851821","127.0882297","02-434-9660","","","서울특별시 중랑구 면목로  371","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","콩나물국밥","","Y"
"13639","","통큰갈비 면목점","3060000","중랑구","101","일반음식점","10101","한식","구동은","04","저염실천음식점","2020-12-31","Y","Y","","37.5888052","127.0883554","02-492-9252","","","서울특별시 중랑구 겸재로  187","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","물냉면","","Y"
"13645","","채선당","3060000","중랑구","101","일반음식점","10101","한식","김은현","04","저염실천음식점","2020-12-31","Y","Y","","37.6066671","127.1005277","02-3421-0313","","","서울특별시 중랑구 용마산로  623","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","샤브샤브육수","","Y"
"13644","","엉터리양평해장국감자탕곱창전골","3060000","중랑구","101","일반음식점","10101","한식","김영미","04","저염실천음식점","2020-12-31","Y","Y","","37.6002151","127.0782618","02-433-3374","","","서울특별시 중랑구 중랑역로  76","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","해장국","","Y"
"13643","","호반닭갈비","3060000","중랑구","101","일반음식점","10101","한식","김성훈","04","저염실천음식점","2020-12-31","Y","Y","","37.6014256","127.0763556","0507-1306-1656","","","서울특별시 중랑구 봉화산로 20(중화동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","동치미","","Y"
"13642","","소문난 순대국","3060000","중랑구","101","일반음식점","10101","한식","김금덕","04","저염실천음식점","2020-12-31","Y","Y","","37.5780474","127.084943","02-435-2812","","","서울특별시 중랑구 사가정로50길  68","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","순대국","","Y"
"13641","","돈다발","3060000","중랑구","101","일반음식점","10101","한식","김경연","04","저염실천음식점","2020-12-31","Y","Y","","37.5790951","127.0852585","02-434-7016","","","서울특별시 중랑구 면목로37길 17(1층 면목동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","된장찌개","","Y"
"13683","","정가네홍두깨칼국수","3060000","중랑구","101","일반음식점","10101","한식","정영학","04","저염실천음식점","2020-12-31","Y","Y","","37.59669","127.0990059","02-491-8457","","","서울특별시 중랑구 망우로62길  61","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","칼국수","","Y"
"13681","","소우가","3060000","중랑구","101","일반음식점","10101","한식","정미경","04","저염실천음식점","2020-12-31","Y","Y","","37.5784956","127.0857979","02-434-3066","","","서울특별시 중랑구 면목로  285","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","된장찌개","","Y"
"13680","","오대가마솥순대국","3060000","중랑구","101","일반음식점","10101","한식","정금례","04","저염실천음식점","2020-12-31","Y","Y","","37.5931146","127.0874988","02-2209-0022","","","서울특별시 중랑구 봉우재로  131","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","순대국","","Y"
"13679","","도가","3060000","중랑구","101","일반음식점","10101","한식","전진환","04","저염실천음식점","2020-12-31","Y","Y","","37.6067254","127.0940148","02-3423-0887","","","서울특별시 중랑구 봉화산로  189","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","순대국","","Y"
"13676","","봉화정육식당","3060000","중랑구","101","일반음식점","10101","한식","장윤주","04","저염실천음식점","2020-12-31","Y","Y","","37.6163564","127.0926972","02-3421-3535","","","서울특별시 중랑구 신내로  211 213호","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","김치찌개","","Y"
"13675","","한촌설렁탕중화점","3060000","중랑구","101","일반음식점","10101","한식","장우진","04","저염실천음식점","2020-12-31","Y","Y","","37.6002514","127.0794504","02-493-8781","","","서울특별시 중랑구 동일로 781(1층 중화동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","설렁탕","","Y"
"13674","","망우찜쌈밥","3060000","중랑구","101","일반음식점","10101","한식","장국진","04","저염실천음식점","2020-12-31","Y","Y","","37.5945916","127.1003221","02-437-0175","","","서울특별시 중랑구 용마공원로2길 8(망우동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","미역국","","Y"
"13668","","여자만아구찜","3060000","중랑구","101","일반음식점","10101","한식","윤규철","04","저염실천음식점","2020-12-31","Y","Y","","37.591686","127.0798956","02-434-5954","","","서울특별시 중랑구 동일로 685(면목동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","육수","","Y"
"13667","","시골밥상","3060000","중랑구","101","일반음식점","10101","한식","유재국","04","저염실천음식점","2020-12-31","Y","Y","","37.599099","127.0994185","02-973-8850","","","서울특별시 중랑구 망우로66길 10(망우동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","김치찌개","","Y"
"13665","","대가순대국","3060000","중랑구","101","일반음식점","10101","한식","양형철","04","저염실천음식점","2020-12-31","Y","Y","","37.5804217","127.0878576","02-2209-8283","","","서울특별시 중랑구 사가정로52길  1-4","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","순대국","","Y"
"13664","","우마루","3060000","중랑구","101","일반음식점","10101","한식","안형준","04","저염실천음식점","2020-12-31","Y","Y","","37.5990865","127.0802801","02-434-7123","","","서울특별시 중랑구 동일로  768","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","샤브샤브육수","","Y"
"13663","","채선당 묵동점","3060000","중랑구","101","일반음식점","10101","한식","손인국","04","저염실천음식점","2020-12-31","Y","Y","","37.6145689","127.0771445","02-948-7220","","","서울특별시 중랑구 동일로  942","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","샤브샤브육수","","Y"
"13662","","옛날순대국","3060000","중랑구","101","일반음식점","10101","한식","손미옥","04","저염실천음식점","2020-12-31","Y","Y","","37.5999273","127.0794884","02-436-1640","","","서울특별시 중랑구 동일로 777(중화동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","순대국","","Y"
"13661","","옛터식당","3060000","중랑구","101","일반음식점","10101","한식","서석문","04","저염실천음식점","2020-12-31","Y","Y","","37.5926137","127.0763852","02-439-3977","","","서울특별시 중랑구 중랑천로10길 63-3(상봉동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","칼국수","","Y"
"13660","","풀잎보리밥쌈밥생고기","3060000","중랑구","101","일반음식점","10101","한식","서경미","04","저염실천음식점","2020-12-31","Y","Y","","37.5946166","127.0767228","02-2207-3323","","","서울특별시 중랑구 중랑역로 5(중화동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","미역국","","Y"
"13659","","소문난 고깃집","3060000","중랑구","101","일반음식점","10101","한식","백소은","04","저염실천음식점","2020-12-31","Y","Y","","37.5839253","127.0888338","02-2207-3346","","","서울특별시 중랑구 면목로56길  8","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","버섯불고기전골","","Y"
"13658","","최고집메밀촌","3060000","중랑구","101","일반음식점","10101","한식","박현숙","04","저염실천음식점","2020-12-31","Y","Y","","37.5976046","127.0797321","02-439-1465","","","서울특별시 중랑구 동일로123길 5","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","칼국수","","Y"
"13656","","옛가칼국수","3060000","중랑구","101","일반음식점","10101","한식","박정옥","04","저염실천음식점","2020-12-31","Y","Y","","37.5921354","127.0751342","02-492-1555","","","서울특별시 중랑구 중랑천로10길 39(상봉동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","칼국수","","Y"
"13655","","부뚜막순대국","3060000","중랑구","101","일반음식점","10101","한식","박재철","04","저염실천음식점","2020-12-31","Y","Y","","37.5987437","127.0977354","02-491-4599","","","서울특별시 중랑구 용마산로115길 46(망우동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","순대국","","Y"
"13654","","김밥천국","3060000","중랑구","101","일반음식점","10101","한식","박순희","04","저염실천음식점","2020-12-31","Y","Y","","37.5949336","127.1002613","02-494-7788","","","서울특별시 중랑구 용마산로 494","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","우동(일식)","","Y"
"13653","","한강오리쌈나루","3060000","중랑구","101","일반음식점","10101","한식","박순진","04","저염실천음식점","2020-12-31","Y","Y","","37.6041447","127.0795497","02-2207-5296","","","서울특별시 중랑구 동일로140길 8(중화동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","육계장","","Y"
"13652","","찜집","3060000","중랑구","101","일반음식점","10101","한식","박성철","04","저염실천음식점","2020-12-31","Y","Y","","37.5784608","127.0859568","02-494-0044","","","서울특별시 중랑구 면목로 287","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","아구탕","","Y"
"13648","","서해쭈꾸미","3060000","중랑구","101","일반음식점","10101","한식","김학례","04","저염실천음식점","2020-12-31","Y","Y","","37.5888457","127.088921","02-2209-7892","","","서울특별시 중랑구 겸재로  191","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","콩나물국","","Y"
"13647","","시월애도토리","3060000","중랑구","101","일반음식점","10101","한식","김정애","04","저염실천음식점","2020-12-31","Y","Y","","37.5909644","127.0751827","02-435-5552","","","서울특별시 중랑구 동일로109길 90(면목동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","만두전골","","Y"
"13632","","진주회관","3010000","중구","101","일반음식점","10101","한식","조창배","04","저염실천음식점","2020-12-31","Y","Y","","37.5623895","126.9744806","02-753-5388","","","서울특별시 중구 세종대로11길 26(서소문동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","콩국수","","Y"
"13633","","현가츠","3010000","중구","101","일반음식점","10101","한식","주백현","04","저염실천음식점","2020-12-31","Y","Y","","37.5610795","126.9824103","02-3789-0673","","","서울특별시 중구 명동8나길 45(충무로1가 지하1층)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","미소된장국","","Y"
"13634","","원당감자탕","3010000","중구","101","일반음식점","10101","한식","최성길","04","저염실천음식점","2020-12-31","Y","Y","","37.5611115","126.9829871","02-757-7612","","","서울특별시 중구 명동8나길 35 1층","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","등뼈묵은지감자탕","","Y"
"13635","","놀부보쌈과 돌솥밥","3010000","중구","101","일반음식점","10101","한식","최원덕","04","저염실천음식점","2020-12-31","Y","Y","","37.5676104","127.007621","02-2264-1669","","","서울특별시 중구 을지로43길 34 2층(을지로6가)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","육수","","Y"
"13637","","한상훈셰프","3010000","중구","101","일반음식점","10101","한식","한상훈","04","저염실천음식점","2020-12-31","Y","Y","","37.5579655","126.9828261","02-771-1808","","","서울특별시 중구 소공로 29(회현동2가1층 2층)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","양송이스프 ","","Y"
"13636","","만복림","3010000","중구","101","일반음식점","10102","중국식","최준섭","04","저염실천음식점","2020-12-31","Y","Y","","37.5539682","126.9748676","02-753-5693","","","서울특별시 중구 후암로 98(남대문로5가STX 남산타워 지하1층)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","짬뽕국물","","Y"
"13638","","컨퍼런스하우스달개비정동점","3010000","중구","101","일반음식점","10101","한식","함순효","04","저염실천음식점","2020-12-31","Y","Y","","37.5667926","126.9762087","02-765-2035","","","서울특별시 중구 세종대로19길 16(정동 지하1층)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","소고기육계장","","Y"
"13646","","남원추어탕","3060000","중랑구","101","일반음식점","10119","탕류","김점순","04","저염실천음식점","2020-12-31","Y","Y","","37.5801172","127.0857668","02-435-8398","","","서울특별시 중랑구 면목로39길 32(면목동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","추어탕","","Y"
"13649","","본가남원추어탕","3060000","중랑구","101","일반음식점","10119","탕류","김형준","04","저염실천음식점","2020-12-31","Y","Y","","37.606443","127.0983106","02-494-4222","","","서울특별시 중랑구 봉화산로56길  46","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","추어탕","","Y"
"13651","","강원도 흑염소","3060000","중랑구","101","일반음식점","10119","탕류","남은주","04","저염실천음식점","2020-12-31","Y","Y","","37.5988582","127.093861","02-439-6038","","","서울특별시 중랑구 망우로55길  32 101호","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","영양탕","","Y"
"13669","","무교동 낙지나라","3060000","중랑구","101","일반음식점","10119","탕류","이강분","04","저염실천음식점","2020-12-31","Y","Y","","37.5803823","127.0885826","02-438-5020","","","서울특별시 중랑구 면목로  320","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","연포탕","","Y"
"13677","","홍어천국","3060000","중랑구","101","일반음식점","10119","탕류","장효숙","04","저염실천음식점","2020-12-31","Y","Y","","37.5896513","127.0870656","02-437-4757","","","서울특별시 중랑구 면목로  421 2층","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","홍어탕","","Y"
"13678","","흥부골숯불돼지왕갈비","3060000","중랑구","101","일반음식점","10119","탕류","전영준","04","저염실천음식점","2020-12-31","Y","Y","","37.5822718","127.0882426","02-491-4488","","","서울특별시 중랑구 면목로  341","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","갈비곰탕","","Y"
"13682","","남한강물고기","3060000","중랑구","101","일반음식점","10119","탕류","정미선","04","저염실천음식점","2020-12-31","Y","Y","","37.5938787","127.0826203","0507-1487-1255","","","서울특별시 중랑구 동일로114길 43(상봉동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","매운탕","","Y"
"13670","","바다횟집","3060000","중랑구","101","일반음식점","10119","탕류","이길주","04","저염실천음식점","2020-12-31","Y","Y","","37.6130053","127.0753742","02-979-5501","","","서울특별시 중랑구 중랑역로  219-1","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","서더리매운탕","","Y"
"13673","","할매복집","3060000","중랑구","101","일반음식점","10114","복어취급","이은재","04","저염실천음식점","2020-12-31","Y","Y","","37.6177119","127.0792465","02-979-7606","","","서울특별시 중랑구 공릉로 82(묵동)","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","복국지리","","Y"
"13672","","최가네우동","3060000","중랑구","101","일반음식점","10105","분식","이옥자","04","저염실천음식점","2020-12-31","Y","Y","","37.597406","127.0948412","02-493-3051","","","서울특별시 중랑구 봉우재로57길  62","","2022-01-13 10:39:01.0","2022-01-13 10:39:01.0","우동","","Y"
"13599","","태백산맥","3010000","중구","101","일반음식점","10101","한식","박용민박재성","04","저염실천음식점","2020-12-31","Y","Y","","37.5522072","127.0081648","02-2237-0402","","","서울특별시 중구 다산로 85(3층 4층 신당동)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","소갈비탕","","Y"
"13621","","쁘띠하노이(서울역점)","3010000","중구","101","일반음식점","10199","기타(일반음식점)","이수환","04","저염실천음식점","2020-12-31","Y","Y","","37.554322","126.9741045","02-3789-2884","","","서울특별시 중구 후암로 110(남대문로5가지하1층)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","베트남쌀국수","","Y"
"13622","","잘차려진바다","3010000","중구","101","일반음식점","10119","탕류","이용화 외 2 ","04","저염실천음식점","2020-12-31","Y","Y","","37.5668067","126.9820154","02-319-0896","","","서울특별시 중구 남대문로9길 8","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","바지락조개탕","","Y"
"13616","","남원추어탕","3010000","중구","101","일반음식점","10119","탕류","이기정","04","저염실천음식점","2020-12-31","Y","Y","","37.5660988","127.0035887","02-2265-2394","","","서울특별시 중구 을지로38길 14(을지로5가)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","추어탕","","Y"
"13615","","명동미성옥","3010000","중구","101","일반음식점","10119","탕류","이광열","04","저염실천음식점","2020-12-31","Y","Y","","37.5641742","126.9839302","02-776-8929","","","서울특별시 중구 명동길 25-11(명동1가)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","설렁탕","","Y"
"13631","","애성회관","3010000","중구","101","일반음식점","10119","탕류","조영애","04","저염실천음식점","2020-12-31","Y","Y","","37.562437","126.9789169","02-352-0303","","","서울특별시 중구 남대문로5길 23(북창동1층)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","영양곰탕","","Y"
"13601","","남도복국","3010000","중구","101","일반음식점","10114","복어취급","배동하","04","저염실천음식점","2020-12-31","Y","Y","","37.5635938","126.9782786","0507-1364-7945","","","서울특별시 중구 세종대로18길 16-5 1층","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","복국지리","","Y"
"13606","","대복","3010000","중구","101","일반음식점","10114","복어취급","송남희","04","저염실천음식점","2020-12-31","Y","Y","","37.5627978","126.9779272","0507-1402-0189","","","서울특별시 중구 세종대로14길 22(북창동)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","복국지리","","Y"
"13613","","참복집","3010000","중구","101","일반음식점","10114","복어취급","윤명자","04","저염실천음식점","2020-12-31","Y","Y","","37.5624676","126.978294","02-779-0681","","","서울특별시 중구 세종대로14길 28-6(북창동)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","복국지리","","Y"
"13580","","일식 성진","3010000","중구","101","일반음식점","10104","일식","강태훈 외1명","04","저염실천음식점","2020-12-31","Y","Y","","37.562169","126.9896622","02-2269-5551","","","서울특별시 중구 삼일대로4길 9(충무로2가외 2필지 1층 109호)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","미소된장국","","Y"
"13628","","미가참치","3010000","중구","101","일반음식점","10104","일식","정문기","04","저염실천음식점","2020-12-31","Y","Y","","37.5653398","126.9895628","02-3406-9470","","","서울특별시 중구 수표로 45(저동2가)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","대구맑은탕","","Y"
"13582","","일품향","3010000","중구","101","일반음식점","10102","중국식","구문정","04","저염실천음식점","2020-12-31","Y","Y","","37.5621323","126.9822375","02-753-6928","","","서울특별시 중구 남대문로 52-13(명동2가 중정 도서관빌딩 2층)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","짬뽕국물","","Y"
"13608","","마라공방","3010000","중구","101","일반음식점","10102","중국식","신창동","04","저염실천음식점","2020-12-31","Y","Y","","37.5690068","126.9759407","0507-1352-2688","","","서울특별시 중구 세종대로21길 55(태평로1가외1필지지상2층)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","마라탕","","Y"
"13630","","미도리회집","3010000","중구","101","일반음식점","10101","한식","정옥기","04","저염실천음식점","2020-12-31","Y","Y","","37.5605569","126.986594","02-776-5560","","","서울특별시 중구 퇴계로22길 7(남산동3가)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","다시마된장국","","Y"
"13629","","전주풍남회관","3010000","중구","101","일반음식점","10101","한식","정상영","04","저염실천음식점","2020-12-31","Y","Y","","37.5685385","126.9759697","02-736-2144","","","서울특별시 중구 세종대로21길 48(태평로1가)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","맑은콩나물국","","Y"
"13627","","봉추찜닭","3010000","중구","101","일반음식점","10101","한식","장윤석","04","저염실천음식점","2020-12-31","Y","Y","","37.5610605","126.982286","02-3789-9381","","","서울특별시 중구 명동8나길 47(충무로1가 2층)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","간장찜닭","","Y"
"13626","","우래옥","3010000","중구","101","일반음식점","10101","한식","장경선","04","저염실천음식점","2020-12-31","Y","Y","","37.5682201","126.9987268","02-2265-0151","","","서울특별시 중구 창경궁로 62-29(주교동)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","물냉면","","Y"
"13625","","오발탄","3010000","중구","101","일반음식점","10101","한식","이헌룡","04","저염실천음식점","2020-12-31","Y","Y","","37.5616794","126.9945812","02-2275-0110","","","서울특별시 중구 퇴계로 205(충무로4가)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","소갈비탕","","Y"
"13624","","무교동낙지애보쌈","3010000","중구","101","일반음식점","10101","한식","이추자","04","저염실천음식점","2020-12-31","Y","Y","","37.5647032","126.9763278","02-754-4353","","","서울특별시 중구 태평로2가 366-1 지하1층지상1층","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","우거지 된장국","","Y"
"13623","","아이러브떡볶이","3010000","중구","101","일반음식점","10101","한식","이윤근","04","저염실천음식점","2020-12-31","Y","Y","","37.5631921","127.0147653","02-2232-7872","","","서울특별시 중구 퇴계로76길 50(신당동 성완빌딩 1층 1~7호)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","어묵탕","","Y"
"13620","","나주곰탕","3010000","중구","101","일반음식점","10101","한식","이상숙","04","저염실천음식점","2020-12-31","Y","Y","","37.5670626","126.9887245","02-732-1112","","","서울특별시 중구 을지로9길 26(수표동 1층)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","나주곰탕","","Y"
"13619","","낙동강","3010000","중구","101","일반음식점","10101","한식","이복희","04","저염실천음식점","2020-12-31","Y","Y","","37.5676351","126.9798534","02-778-9548","","","서울특별시 중구 을지로1길 34(다동)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","두부된장국 맑은다시마국","","Y"
"13618","","화로가(조선정육식당)","3010000","중구","101","일반음식점","10101","한식","이명승","04","저염실천음식점","2020-12-31","Y","Y","","37.5637709","126.980008","0507-1436-8597","","","서울특별시 중구 남대문로7길 33(소공동지상1층 104호)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","김치찌개","","Y"
"13617","","강가","3010000","중구","101","일반음식점","10101","한식","이덕형임재선","04","저염실천음식점","2020-12-31","Y","Y","","37.5684233","126.9782692","02-3783-0610","","","서울특별시 중구 세종대로 136(태평로1가서울파이낸스센타 지하2층)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","치킨마크니커리","","Y"
"13614","","오장동흥남집","3010000","중구","101","일반음식점","10101","한식","윤재순","04","저염실천음식점","2020-12-31","Y","Y","","37.5643431","127.0005559","02-2266-0735","","","서울특별시 중구 마른내로 114(오장동 지하1층~지상3층)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","물냉면","","Y"
"13612","","곰국시집","3010000","중구","101","일반음식점","10101","한식","유미화","04","저염실천음식점","2020-12-31","Y","Y","","37.5630804","126.9856203","0507-1417-3449","","","서울특별시 중구 명동10길 19-3(명동2가지상2층)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","곰국시","","Y"
"13611","","김명자굴국밥전문점(북창점)","3010000","중구","101","일반음식점","10101","한식","우승지","04","저염실천음식점","2020-12-31","Y","Y","","37.5626218","126.978405","02-777-9003","","","서울특별시 중구 세종대로14길 28-3(북창동지상1층)","","2022-01-13 10:39:00.0","2022-01-13 10:39:00.0","맑은굴국","","Y"
